======================================================================
ARM A: JOINT self-play, V2V prior, 312 updates (matches W5 budget)
======================================================================
  [jointV2V] steps=   38,448 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   38,656 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   38,864 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   39,072 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   39,280 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   39,488 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   39,696 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   39,904 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   40,112 ret=   -40.0 coll=  4.0%
  [jointV2V] steps=   40,320 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   40,528 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   40,736 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   40,944 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   41,152 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   41,360 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   41,568 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   41,776 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   41,984 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   42,192 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   42,400 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   42,608 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   42,816 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   43,024 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   43,232 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   43,440 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   43,648 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   43,856 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   44,064 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   44,272 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   44,480 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   44,688 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   44,896 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   45,104 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   45,312 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   45,520 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   45,728 ret=   -30.0 coll=  3.0%
  [jointV2V] steps=   45,936 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   46,144 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   46,352 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   46,560 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   46,768 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   46,976 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   47,184 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   47,392 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   47,600 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   47,808 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   48,016 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   48,224 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   48,432 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   48,640 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   48,848 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   49,056 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   49,264 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   49,472 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   49,680 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   49,888 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   50,096 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   50,304 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   50,512 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   50,720 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   50,928 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   51,136 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   51,344 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   51,552 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   51,760 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   51,968 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   52,176 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   52,384 ret=  -100.0 coll= 10.0%
  [jointV2V] steps=   52,592 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   52,800 ret=   -10.0 coll=  1.0%
  [jointV2V] steps=   53,008 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   53,216 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   53,424 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   53,632 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   53,840 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   54,048 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   54,256 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   54,464 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   54,672 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   54,880 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   55,088 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   55,296 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   55,504 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   55,712 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   55,920 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   56,128 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   56,336 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   56,544 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   56,752 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   56,960 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   57,168 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   57,376 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   57,584 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   57,792 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   58,000 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   58,208 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   58,416 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   58,624 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   58,832 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   59,040 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   59,248 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   59,456 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   59,664 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   59,872 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   60,080 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   60,288 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   60,496 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   60,704 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   60,912 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   61,120 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   61,328 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   61,536 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   61,744 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   61,952 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   62,160 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   62,368 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   62,576 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   62,784 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   62,992 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   63,200 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   63,408 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   63,616 ret=     0.0 coll=  0.0%
